|№   |  Дата/время   | Температура | Осадки (мм)  |
| -- | ------------- | ----------- | ------------ |
|1 | 2026-05-05T00:00 | 13.9 | 0.0 |
|2 | 2026-05-05T01:00 | 13.6 | 0.0 |
|3 | 2026-05-05T02:00 | 13.2 | 0.0 |
|4 | 2026-05-05T03:00 | 12.3 | 0.0 |
|5 | 2026-05-05T04:00 | 12.2 | 0.0 |
|6 | 2026-05-05T05:00 | 12.0 | 0.0 |
|7 | 2026-05-05T06:00 | 13.9 | 0.0 |
|8 | 2026-05-05T07:00 | 16.5 | 0.0 |
|9 | 2026-05-05T08:00 | 18.9 | 0.0 |
|10 | 2026-05-05T09:00 | 22.1 | 0.0 |
|11 | 2026-05-05T10:00 | 24.0 | 0.0 |
|12 | 2026-05-05T11:00 | 25.2 | 0.0 |
|13 | 2026-05-05T12:00 | 25.5 | 0.0 |
|14 | 2026-05-05T13:00 | 26.2 | 0.0 |
|15 | 2026-05-05T14:00 | 26.8 | 0.0 |
|16 | 2026-05-05T15:00 | 27.0 | 0.0 |
|17 | 2026-05-05T16:00 | 26.7 | 0.0 |
|18 | 2026-05-05T17:00 | 26.1 | 0.0 |
|19 | 2026-05-05T18:00 | 25.6 | 0.0 |
|20 | 2026-05-05T19:00 | 23.9 | 0.0 |
|21 | 2026-05-05T20:00 | 20.4 | 0.0 |
|22 | 2026-05-05T21:00 | 19.1 | 0.0 |
|23 | 2026-05-05T22:00 | 18.0 | 0.0 |
|24 | 2026-05-05T23:00 | 17.5 | 0.0 |
